id_student,code_module,code_presentation,label_pass,label_fail_or_withdraw,sex,age_band,highest_education,imd_band,sex_x_age,studied_credits,num_of_prev_attempts,vle_total_clicks,vle_mean_clicks,vle_max_clicks,vle_first4_clicks,vle_last4_clicks,vle_cumulative_clicks,vle_days_active,assessment_count,assessment_mean_score,assessment_last_score,assessment_ontime_rate
11,DDD,2013B,1,0,Male,55<=,Lower Than A Level,0-10%,Male_x_55<=,30,0,822.0,45.666666666666664,87.0,74.0,822.0,822.0,17.0,1.0,74.0,74.0,0.0
12,CCC,2013J,0,1,Male,0-35,Post Graduate Qualification,40-50%,Male_x_0-35,120,0,214.0,42.8,83.0,0.0,214.0,214.0,5.0,,,,
13,FFF,2013J,1,0,Male,35-55,A Level or Equivalent,60-70%,Male_x_35-55,60,2,256.0,36.57142857142857,97.0,33.0,256.0,256.0,7.0,,,,
14,EEE,2013B,0,0,Female,0-35,Lower Than A Level,80-90%,Female_x_0-35,90,1,201.0,67.0,88.0,88.0,201.0,201.0,3.0,1.0,20.0,20.0,1.0
15,BBB,2013B,0,1,Female,0-35,Lower Than A Level,0-10%,Female_x_0-35,30,0,695.0,43.4375,90.0,148.0,695.0,695.0,16.0,,,,
16,DDD,2013J,0,1,Male,35-55,HE Qualification,20-30%,Male_x_35-55,60,0,174.0,43.5,89.0,0.0,174.0,174.0,4.0,,,,
17,FFF,2014B,1,0,Female,0-35,A Level or Equivalent,70-80%,Female_x_0-35,120,0,174.0,34.8,79.0,5.0,174.0,174.0,5.0,,,,
18,FFF,2014J,0,0,Male,55<=,HE Qualification,50-60%,Male_x_55<=,30,0,390.0,48.75,91.0,69.0,390.0,390.0,8.0,,,,
19,BBB,2014J,1,0,Female,35-55,A Level or Equivalent,40-50%,Female_x_35-55,60,0,287.0,41.0,83.0,0.0,287.0,287.0,7.0,,,,
20,DDD,2013B,1,0,Female,0-35,Lower Than A Level,90-100%,Female_x_0-35,60,1,,,,,,,,3.0,56.666666666666664,77.0,1.0
21,EEE,2014B,1,0,Female,0-35,HE Qualification,10-20%,Female_x_0-35,90,0,883.0,49.05555555555556,94.0,135.0,883.0,883.0,17.0,,,,
22,AAA,2013J,1,0,Male,0-35,Post Graduate Qualification,20-30%,Male_x_0-35,30,0,642.0,49.38461538461539,91.0,118.0,642.0,642.0,13.0,,,,
23,DDD,2013B,0,1,Male,35-55,A Level or Equivalent,10-20%,Male_x_35-55,60,1,1240.0,56.36363636363637,96.0,116.0,1240.0,1240.0,18.0,1.0,54.0,54.0,0.0
24,BBB,2014B,0,1,Female,55<=,Lower Than A Level,0-10%,Female_x_55<=,60,0,778.0,59.84615384615385,93.0,275.0,778.0,778.0,12.0,,,,
25,FFF,2014B,1,0,Male,0-35,No Formal quals,60-70%,Male_x_0-35,60,0,241.0,40.166666666666664,80.0,52.0,241.0,241.0,6.0,1.0,37.0,37.0,0.0
26,EEE,2014B,0,1,Male,0-35,A Level or Equivalent,20-30%,Male_x_0-35,30,0,445.0,63.57142857142857,99.0,0.0,445.0,445.0,7.0,,,,
27,DDD,2013J,0,1,Female,0-35,A Level or Equivalent,60-70%,Female_x_0-35,90,0,390.0,43.333333333333336,82.0,0.0,390.0,390.0,8.0,1.0,73.0,73.0,1.0
28,AAA,2013J,0,0,Male,35-55,Post Graduate Qualification,60-70%,Male_x_35-55,60,1,260.0,65.0,86.0,86.0,260.0,260.0,4.0,,,,
29,AAA,2014J,1,0,Female,0-35,A Level or Equivalent,70-80%,Female_x_0-35,30,1,98.0,98.0,98.0,0.0,98.0,98.0,1.0,,,,
30,CCC,2014J,1,0,Female,0-35,A Level or Equivalent,0-10%,Female_x_0-35,60,0,975.0,46.42857142857143,88.0,254.0,975.0,975.0,19.0,,,,
31,CCC,2014B,1,0,Female,0-35,Post Graduate Qualification,40-50%,Female_x_0-35,120,0,143.0,35.75,72.0,0.0,143.0,143.0,4.0,1.0,67.0,67.0,1.0
32,BBB,2014B,1,0,Male,35-55,Post Graduate Qualification,90-100%,Male_x_35-55,30,0,874.0,62.42857142857143,94.0,51.0,874.0,874.0,14.0,,,,
33,DDD,2013J,0,1,Female,55<=,HE Qualification,80-90%,Female_x_55<=,60,0,644.0,46.0,88.0,45.0,644.0,644.0,14.0,1.0,45.0,45.0,0.0
34,DDD,2014J,0,1,Female,35-55,Lower Than A Level,60-70%,Female_x_35-55,90,0,304.0,43.42857142857143,92.0,92.0,304.0,304.0,7.0,,,,
35,FFF,2014B,1,0,Male,55<=,Lower Than A Level,0-10%,Male_x_55<=,30,0,746.0,57.38461538461539,99.0,0.0,746.0,746.0,13.0,,,,
36,FFF,2014J,0,1,Male,55<=,HE Qualification,70-80%,Male_x_55<=,30,0,111.0,55.5,87.0,0.0,111.0,111.0,2.0,,,,
37,FFF,2014J,1,0,Male,35-55,Lower Than A Level,20-30%,Male_x_35-55,60,0,99.0,49.5,94.0,0.0,99.0,99.0,2.0,,,,
38,CCC,2014B,1,0,Male,0-35,A Level or Equivalent,30-40%,Male_x_0-35,90,1,268.0,67.0,95.0,0.0,268.0,268.0,4.0,1.0,29.0,29.0,1.0
39,DDD,2013J,1,0,Female,55<=,HE Qualification,30-40%,Female_x_55<=,30,2,491.0,54.55555555555556,93.0,0.0,491.0,491.0,9.0,1.0,4.0,4.0,1.0
40,DDD,2014B,0,1,Male,0-35,HE Qualification,90-100%,Male_x_0-35,90,2,367.0,45.875,95.0,0.0,367.0,367.0,8.0,,,,
41,AAA,2014B,0,1,Male,55<=,Lower Than A Level,70-80%,Male_x_55<=,60,0,412.0,51.5,97.0,127.0,412.0,412.0,8.0,1.0,42.0,42.0,1.0
42,CCC,2014J,0,1,Male,0-35,No Formal quals,0-10%,Male_x_0-35,60,1,38.0,38.0,38.0,0.0,38.0,38.0,1.0,,,,
43,EEE,2014B,0,0,Male,0-35,Lower Than A Level,70-80%,Male_x_0-35,60,1,125.0,62.5,80.0,0.0,125.0,125.0,2.0,,,,
44,CCC,2013J,0,1,Female,35-55,No Formal quals,80-90%,Female_x_35-55,120,2,78.0,39.0,47.0,0.0,78.0,78.0,2.0,1.0,15.0,15.0,1.0
45,EEE,2014B,1,0,Male,0-35,HE Qualification,80-90%,Male_x_0-35,30,0,145.0,36.25,86.0,0.0,145.0,145.0,4.0,,,,
46,AAA,2013J,1,0,Female,55<=,No Formal quals,40-50%,Female_x_55<=,60,1,515.0,46.81818181818182,81.0,104.0,515.0,515.0,11.0,1.0,70.0,70.0,1.0
47,BBB,2013J,0,0,Male,0-35,A Level or Equivalent,30-40%,Male_x_0-35,60,0,724.0,51.714285714285715,97.0,117.0,724.0,724.0,14.0,,,,
48,DDD,2014J,0,1,Female,0-35,Post Graduate Qualification,30-40%,Female_x_0-35,30,1,558.0,34.875,67.0,35.0,558.0,558.0,16.0,1.0,8.0,8.0,1.0
49,AAA,2013B,0,1,Female,0-35,No Formal quals,80-90%,Female_x_0-35,30,0,492.0,44.72727272727273,89.0,51.0,492.0,492.0,11.0,,,,
50,DDD,2013B,0,1,Male,55<=,Post Graduate Qualification,70-80%,Male_x_55<=,30,1,299.0,59.8,98.0,98.0,299.0,299.0,5.0,2.0,49.0,3.0,1.0
51,FFF,2014J,1,0,Female,55<=,A Level or Equivalent,90-100%,Female_x_55<=,60,2,483.0,60.375,95.0,27.0,483.0,483.0,8.0,,,,
52,BBB,2014B,0,1,Male,55<=,Post Graduate Qualification,90-100%,Male_x_55<=,30,0,225.0,45.0,97.0,0.0,225.0,225.0,5.0,,,,
53,BBB,2014J,1,0,Female,0-35,A Level or Equivalent,60-70%,Female_x_0-35,90,0,543.0,49.36363636363637,98.0,35.0,543.0,543.0,11.0,,,,
54,AAA,2013J,1,0,Female,35-55,Post Graduate Qualification,20-30%,Female_x_35-55,120,0,222.0,55.5,72.0,67.0,222.0,222.0,4.0,,,,
55,BBB,2013B,1,0,Female,55<=,Post Graduate Qualification,30-40%,Female_x_55<=,30,0,209.0,34.833333333333336,75.0,34.0,209.0,209.0,6.0,,,,
56,EEE,2014J,0,1,Male,0-35,Lower Than A Level,80-90%,Male_x_0-35,60,0,518.0,57.55555555555556,93.0,66.0,518.0,518.0,9.0,2.0,63.0,59.0,1.0
57,BBB,2014B,0,1,Female,55<=,No Formal quals,70-80%,Female_x_55<=,30,0,123.0,41.0,63.0,16.0,123.0,123.0,3.0,,,,
58,DDD,2014J,0,1,Male,35-55,Post Graduate Qualification,0-10%,Male_x_35-55,30,2,539.0,49.0,80.0,28.0,539.0,539.0,11.0,,,,
59,DDD,2013B,0,1,Female,0-35,HE Qualification,20-30%,Female_x_0-35,60,0,216.0,43.2,85.0,0.0,216.0,216.0,5.0,2.0,23.5,25.0,1.0
60,DDD,2014J,0,1,Female,55<=,Lower Than A Level,90-100%,Female_x_55<=,60,1,353.0,50.42857142857143,79.0,61.0,353.0,353.0,7.0,1.0,61.0,61.0,0.0
61,DDD,2014J,1,0,Female,55<=,No Formal quals,10-20%,Female_x_55<=,120,2,362.0,51.714285714285715,97.0,2.0,362.0,362.0,7.0,,,,
62,EEE,2013B,0,1,Female,35-55,Lower Than A Level,10-20%,Female_x_35-55,60,2,288.0,57.6,97.0,24.0,288.0,288.0,5.0,,,,
63,CCC,2013J,0,1,Female,55<=,No Formal quals,70-80%,Female_x_55<=,60,1,98.0,49.0,94.0,94.0,98.0,98.0,2.0,2.0,19.5,10.0,0.5
64,FFF,2013J,0,1,Female,0-35,A Level or Equivalent,50-60%,Female_x_0-35,30,0,289.0,57.8,84.0,0.0,289.0,289.0,5.0,1.0,32.0,32.0,0.0
65,AAA,2013B,0,1,Male,0-35,Post Graduate Qualification,50-60%,Male_x_0-35,30,1,61.0,61.0,61.0,0.0,61.0,61.0,1.0,,,,
66,DDD,2014J,0,1,Male,35-55,HE Qualification,30-40%,Male_x_35-55,90,0,,,,,,,,,,,
67,BBB,2013B,1,0,Male,35-55,Lower Than A Level,0-10%,Male_x_35-55,30,2,516.0,51.6,96.0,96.0,516.0,516.0,10.0,,,,
68,DDD,2013J,0,1,Female,35-55,Lower Than A Level,60-70%,Female_x_35-55,120,1,334.0,41.75,93.0,65.0,334.0,334.0,8.0,1.0,19.0,19.0,0.0
69,BBB,2014B,1,0,Male,0-35,Lower Than A Level,70-80%,Male_x_0-35,30,1,370.0,33.63636363636363,91.0,1.0,370.0,370.0,11.0,1.0,42.0,42.0,0.0
70,FFF,2014J,0,1,Female,35-55,Lower Than A Level,10-20%,Female_x_35-55,60,0,654.0,46.714285714285715,90.0,150.0,654.0,654.0,14.0,1.0,31.0,31.0,0.0
71,FFF,2013J,0,1,Male,55<=,Post Graduate Qualification,10-20%,Male_x_55<=,120,0,279.0,69.75,81.0,56.0,279.0,279.0,4.0,,,,
72,FFF,2014J,1,0,Male,55<=,No Formal quals,0-10%,Male_x_55<=,30,1,205.0,41.0,89.0,0.0,205.0,205.0,5.0,,,,
73,BBB,2013B,0,1,Female,0-35,Post Graduate Qualification,30-40%,Female_x_0-35,60,2,184.0,46.0,76.0,0.0,184.0,184.0,4.0,,,,
74,DDD,2014B,0,1,Female,55<=,A Level or Equivalent,50-60%,Female_x_55<=,90,0,540.0,60.0,94.0,56.0,540.0,540.0,9.0,,,,
75,FFF,2013B,1,0,Male,35-55,Post Graduate Qualification,40-50%,Male_x_35-55,30,2,73.0,73.0,73.0,0.0,73.0,73.0,1.0,,,,
76,EEE,2014B,0,0,Male,55<=,Post Graduate Qualification,30-40%,Male_x_55<=,60,0,631.0,45.07142857142857,93.0,241.0,631.0,631.0,14.0,,,,
77,BBB,2014J,0,0,Male,35-55,A Level or Equivalent,30-40%,Male_x_35-55,30,1,331.0,66.2,83.0,83.0,331.0,331.0,5.0,1.0,94.0,94.0,0.0
78,BBB,2014J,0,1,Male,55<=,Post Graduate Qualification,90-100%,Male_x_55<=,30,1,397.0,49.625,97.0,78.0,397.0,397.0,8.0,,,,
79,DDD,2013B,0,1,Female,0-35,No Formal quals,60-70%,Female_x_0-35,30,0,224.0,32.0,49.0,23.0,224.0,224.0,7.0,1.0,23.0,23.0,0.0
80,BBB,2014B,0,1,Male,35-55,HE Qualification,60-70%,Male_x_35-55,120,0,342.0,48.857142857142854,78.0,0.0,342.0,342.0,7.0,1.0,31.0,31.0,0.0
81,BBB,2014B,0,1,Female,55<=,A Level or Equivalent,10-20%,Female_x_55<=,30,1,109.0,54.5,75.0,0.0,109.0,109.0,2.0,,,,
82,FFF,2014J,0,0,Female,0-35,Lower Than A Level,60-70%,Female_x_0-35,30,0,644.0,64.4,97.0,20.0,644.0,644.0,10.0,1.0,91.0,91.0,1.0
83,DDD,2013B,1,0,Male,55<=,No Formal quals,10-20%,Male_x_55<=,60,0,915.0,50.833333333333336,99.0,0.0,915.0,915.0,16.0,,,,
84,FFF,2014B,1,0,Female,0-35,HE Qualification,30-40%,Female_x_0-35,60,1,637.0,49.0,99.0,98.0,637.0,637.0,12.0,,,,
85,FFF,2014J,1,0,Male,55<=,No Formal quals,0-10%,Male_x_55<=,60,1,366.0,45.75,91.0,0.0,366.0,366.0,8.0,3.0,43.0,1.0,0.6666666666666666
86,DDD,2013J,0,1,Female,35-55,No Formal quals,40-50%,Female_x_35-55,30,0,944.0,62.93333333333333,98.0,288.0,944.0,944.0,15.0,,,,
87,AAA,2013B,1,0,Female,35-55,Lower Than A Level,0-10%,Female_x_35-55,90,0,506.0,56.22222222222222,98.0,63.0,506.0,506.0,8.0,,,,
88,FFF,2013J,1,0,Male,35-55,HE Qualification,30-40%,Male_x_35-55,60,0,479.0,47.9,75.0,0.0,479.0,479.0,10.0,,,,
89,EEE,2013B,0,1,Female,35-55,No Formal quals,80-90%,Female_x_35-55,60,1,653.0,54.416666666666664,90.0,73.0,653.0,653.0,12.0,1.0,60.0,60.0,0.0
90,EEE,2014J,0,1,Female,35-55,Lower Than A Level,70-80%,Female_x_35-55,30,0,152.0,38.0,66.0,0.0,152.0,152.0,4.0,,,,
91,BBB,2014B,0,1,Male,55<=,A Level or Equivalent,50-60%,Male_x_55<=,60,1,1002.0,62.625,96.0,173.0,1002.0,1002.0,16.0,1.0,50.0,50.0,0.0
92,EEE,2014B,1,0,Female,55<=,Lower Than A Level,70-80%,Female_x_55<=,90,1,257.0,36.714285714285715,84.0,3.0,257.0,257.0,7.0,,,,
93,BBB,2014B,1,0,Female,55<=,Post Graduate Qualification,40-50%,Female_x_55<=,60,0,,,,,,,,,,,
94,AAA,2013B,1,0,Male,55<=,Lower Than A Level,60-70%,Male_x_55<=,30,0,846.0,60.42857142857143,92.0,77.0,846.0,846.0,13.0,1.0,2.0,2.0,0.0
95,DDD,2014J,0,1,Male,35-55,Lower Than A Level,70-80%,Male_x_35-55,30,2,156.0,31.2,81.0,4.0,156.0,156.0,5.0,,,,
96,DDD,2013J,0,1,Female,0-35,Lower Than A Level,60-70%,Female_x_0-35,60,0,827.0,37.59090909090909,86.0,48.0,827.0,827.0,21.0,,,,
97,DDD,2014J,0,1,Female,35-55,No Formal quals,30-40%,Female_x_35-55,120,1,568.0,56.8,96.0,0.0,568.0,568.0,10.0,,,,
98,EEE,2013J,1,0,Female,55<=,HE Qualification,40-50%,Female_x_55<=,30,2,175.0,43.75,80.0,0.0,175.0,175.0,4.0,,,,
99,AAA,2013B,0,1,Male,35-55,Lower Than A Level,90-100%,Male_x_35-55,60,2,463.0,77.16666666666667,96.0,57.0,463.0,463.0,6.0,,,,
100,EEE,2013B,1,0,Female,35-55,Lower Than A Level,50-60%,Female_x_35-55,30,0,329.0,47.0,96.0,0.0,329.0,329.0,7.0,,,,
101,EEE,2013J,1,0,Female,35-55,Post Graduate Qualification,50-60%,Female_x_35-55,60,0,214.0,53.5,77.0,0.0,214.0,214.0,4.0,,,,
102,AAA,2013J,0,1,Female,0-35,Post Graduate Qualification,80-90%,Female_x_0-35,60,3,306.0,43.714285714285715,92.0,0.0,306.0,306.0,7.0,,,,
103,AAA,2013J,1,0,Female,35-55,A Level or Equivalent,90-100%,Female_x_35-55,120,1,283.0,70.75,92.0,0.0,283.0,283.0,4.0,1.0,19.0,19.0,1.0
104,AAA,2014J,0,1,Female,35-55,A Level or Equivalent,10-20%,Female_x_35-55,30,0,74.0,14.8,53.0,0.0,74.0,74.0,5.0,,,,
105,AAA,2013J,1,0,Female,0-35,Post Graduate Qualification,50-60%,Female_x_0-35,90,0,209.0,52.25,92.0,0.0,209.0,209.0,4.0,,,,
106,DDD,2013B,1,0,Male,35-55,HE Qualification,20-30%,Male_x_35-55,60,0,285.0,40.714285714285715,81.0,16.0,285.0,285.0,7.0,,,,
107,CCC,2013B,0,1,Male,35-55,A Level or Equivalent,10-20%,Male_x_35-55,90,2,352.0,39.111111111111114,98.0,222.0,352.0,352.0,9.0,,,,
108,CCC,2014B,1,0,Female,35-55,HE Qualification,50-60%,Female_x_35-55,60,0,423.0,47.0,81.0,0.0,423.0,423.0,9.0,2.0,46.0,27.0,0.5
109,AAA,2013J,1,0,Female,35-55,Post Graduate Qualification,30-40%,Female_x_35-55,30,1,190.0,27.142857142857142,54.0,38.0,190.0,190.0,7.0,1.0,82.0,82.0,1.0
110,CCC,2014J,0,1,Male,35-55,A Level or Equivalent,40-50%,Male_x_35-55,120,1,676.0,56.333333333333336,95.0,53.0,676.0,676.0,12.0,1.0,8.0,8.0,1.0
111,CCC,2014J,1,0,Male,55<=,Lower Than A Level,40-50%,Male_x_55<=,30,1,233.0,33.285714285714285,64.0,0.0,233.0,233.0,7.0,,,,
112,AAA,2014J,0,1,Male,35-55,Post Graduate Qualification,20-30%,Male_x_35-55,60,1,465.0,46.5,96.0,4.0,465.0,465.0,10.0,,,,
113,CCC,2014B,0,1,Female,0-35,A Level or Equivalent,30-40%,Female_x_0-35,90,2,464.0,38.666666666666664,89.0,68.0,464.0,464.0,11.0,,,,
114,EEE,2013B,0,1,Female,35-55,HE Qualification,20-30%,Female_x_35-55,30,0,317.0,31.7,86.0,0.0,317.0,317.0,10.0,,,,
115,BBB,2014J,1,0,Female,55<=,HE Qualification,60-70%,Female_x_55<=,60,0,209.0,41.8,69.0,0.0,209.0,209.0,5.0,,,,
116,BBB,2013B,0,1,Female,0-35,A Level or Equivalent,0-10%,Female_x_0-35,90,1,288.0,57.6,78.0,52.0,288.0,288.0,5.0,,,,
117,AAA,2014B,0,1,Male,0-35,HE Qualification,50-60%,Male_x_0-35,120,0,665.0,55.416666666666664,99.0,81.0,665.0,665.0,12.0,1.0,26.0,26.0,1.0
118,DDD,2013J,1,0,Male,35-55,A Level or Equivalent,30-40%,Male_x_35-55,90,0,307.0,76.75,93.0,58.0,307.0,307.0,4.0,,,,
119,AAA,2013J,1,0,Male,55<=,A Level or Equivalent,0-10%,Male_x_55<=,30,0,486.0,44.18181818181818,86.0,0.0,486.0,486.0,10.0,,,,
120,DDD,2013J,0,1,Male,35-55,HE Qualification,0-10%,Male_x_35-55,60,0,243.0,48.6,81.0,0.0,243.0,243.0,5.0,3.0,72.66666666666667,64.0,0.6666666666666666
121,BBB,2014J,0,1,Female,55<=,No Formal quals,40-50%,Female_x_55<=,90,1,387.0,55.285714285714285,88.0,71.0,387.0,387.0,7.0,3.0,74.33333333333333,97.0,0.6666666666666666
122,AAA,2013J,0,1,Female,55<=,Lower Than A Level,40-50%,Female_x_55<=,60,1,664.0,44.266666666666666,87.0,135.0,664.0,664.0,13.0,,,,
123,FFF,2014J,1,0,Male,35-55,Post Graduate Qualification,90-100%,Male_x_35-55,90,0,1024.0,48.76190476190476,99.0,3.0,1024.0,1024.0,19.0,1.0,90.0,90.0,1.0
124,EEE,2014B,0,1,Male,55<=,Lower Than A Level,60-70%,Male_x_55<=,30,1,267.0,53.4,92.0,92.0,267.0,267.0,5.0,,,,
125,CCC,2014B,1,0,Male,35-55,Post Graduate Qualification,30-40%,Male_x_35-55,30,0,180.0,36.0,63.0,28.0,180.0,180.0,5.0,1.0,16.0,16.0,1.0
126,DDD,2014J,0,1,Male,55<=,Post Graduate Qualification,80-90%,Male_x_55<=,60,1,754.0,44.35294117647059,76.0,128.0,754.0,754.0,17.0,,,,
127,FFF,2013B,1,0,Male,0-35,Lower Than A Level,30-40%,Male_x_0-35,120,0,263.0,65.75,84.0,0.0,263.0,263.0,4.0,,,,
128,CCC,2013J,0,1,Female,35-55,A Level or Equivalent,60-70%,Female_x_35-55,60,1,404.0,80.8,95.0,0.0,404.0,404.0,5.0,,,,
129,CCC,2013J,1,0,Female,55<=,HE Qualification,40-50%,Female_x_55<=,120,0,170.0,42.5,74.0,13.0,170.0,170.0,4.0,1.0,19.0,19.0,0.0
130,AAA,2013J,0,1,Male,0-35,No Formal quals,40-50%,Male_x_0-35,120,0,290.0,58.0,86.0,0.0,290.0,290.0,5.0,,,,
131,CCC,2014J,0,1,Male,0-35,No Formal quals,50-60%,Male_x_0-35,120,1,557.0,42.84615384615385,89.0,119.0,557.0,557.0,13.0,,,,
132,EEE,2014B,1,0,Male,0-35,No Formal quals,70-80%,Male_x_0-35,120,0,220.0,73.33333333333333,89.0,0.0,220.0,220.0,3.0,1.0,88.0,88.0,0.0
133,FFF,2013J,1,0,Female,0-35,Lower Than A Level,40-50%,Female_x_0-35,90,3,874.0,54.625,94.0,342.0,874.0,874.0,16.0,,,,
134,CCC,2014B,0,0,Female,35-55,Lower Than A Level,20-30%,Female_x_35-55,90,1,99.0,49.5,55.0,0.0,99.0,99.0,2.0,1.0,16.0,16.0,1.0
135,AAA,2013J,1,0,Female,55<=,A Level or Equivalent,50-60%,Female_x_55<=,60,0,709.0,64.45454545454545,98.0,179.0,709.0,709.0,11.0,1.0,48.0,48.0,1.0
136,EEE,2013J,0,1,Male,0-35,No Formal quals,10-20%,Male_x_0-35,30,1,1216.0,48.64,99.0,88.0,1216.0,1216.0,25.0,1.0,30.0,30.0,0.0
137,BBB,2014J,1,0,Female,55<=,A Level or Equivalent,70-80%,Female_x_55<=,30,0,389.0,35.36363636363637,91.0,83.0,389.0,389.0,11.0,,,,
138,FFF,2013B,0,1,Male,55<=,No Formal quals,70-80%,Male_x_55<=,30,0,536.0,48.72727272727273,99.0,53.0,536.0,536.0,10.0,,,,
139,CCC,2014J,1,0,Female,55<=,Lower Than A Level,20-30%,Female_x_55<=,30,3,607.0,60.7,99.0,125.0,607.0,607.0,10.0,,,,
140,AAA,2013J,0,1,Female,35-55,HE Qualification,70-80%,Female_x_35-55,30,0,124.0,41.333333333333336,81.0,25.0,124.0,124.0,3.0,,,,
141,BBB,2013J,1,0,Female,35-55,HE Qualification,80-90%,Female_x_35-55,120,1,544.0,54.4,97.0,94.0,544.0,544.0,10.0,,,,
142,BBB,2013B,0,1,Male,0-35,HE Qualification,40-50%,Male_x_0-35,60,0,536.0,53.6,96.0,43.0,536.0,536.0,9.0,,,,
143,DDD,2014B,1,0,Male,55<=,HE Qualification,40-50%,Male_x_55<=,60,1,858.0,53.625,97.0,0.0,858.0,858.0,16.0,,,,
144,EEE,2014B,0,1,Female,35-55,Post Graduate Qualification,50-60%,Female_x_35-55,90,0,799.0,57.07142857142857,97.0,20.0,799.0,799.0,13.0,1.0,59.0,59.0,1.0
145,CCC,2013J,1,0,Male,35-55,No Formal quals,60-70%,Male_x_35-55,60,0,,,,,,,,,,,
146,AAA,2014B,1,0,Male,35-55,HE Qualification,20-30%,Male_x_35-55,30,3,604.0,43.142857142857146,97.0,97.0,604.0,604.0,14.0,2.0,58.0,73.0,1.0
147,DDD,2013J,0,1,Male,0-35,Post Graduate Qualification,40-50%,Male_x_0-35,90,0,992.0,55.111111111111114,96.0,184.0,992.0,992.0,17.0,2.0,57.0,63.0,0.0
148,EEE,2013B,1,0,Male,35-55,Post Graduate Qualification,0-10%,Male_x_35-55,60,1,39.0,39.0,39.0,39.0,39.0,39.0,1.0,1.0,46.0,46.0,0.0
149,DDD,2013B,0,1,Male,55<=,Post Graduate Qualification,90-100%,Male_x_55<=,60,0,704.0,44.0,89.0,58.0,704.0,704.0,16.0,2.0,82.0,89.0,0.5
150,FFF,2013J,0,1,Male,35-55,A Level or Equivalent,40-50%,Male_x_35-55,30,0,,,,,,,,,,,
151,EEE,2013B,0,1,Male,35-55,A Level or Equivalent,30-40%,Male_x_35-55,60,1,485.0,48.5,97.0,99.0,485.0,485.0,10.0,,,,
152,EEE,2014J,1,0,Female,0-35,Post Graduate Qualification,0-10%,Female_x_0-35,90,0,156.0,39.0,70.0,0.0,156.0,156.0,4.0,,,,
153,CCC,2014J,0,1,Male,55<=,HE Qualification,60-70%,Male_x_55<=,30,0,428.0,53.5,88.0,0.0,428.0,428.0,8.0,,,,
154,EEE,2013B,1,0,Male,35-55,No Formal quals,0-10%,Male_x_35-55,120,2,979.0,54.388888888888886,97.0,98.0,979.0,979.0,17.0,,,,
155,DDD,2013J,0,1,Female,55<=,Lower Than A Level,70-80%,Female_x_55<=,30,1,945.0,59.0625,99.0,131.0,945.0,945.0,16.0,,,,
156,EEE,2013J,1,0,Female,55<=,A Level or Equivalent,90-100%,Female_x_55<=,60,0,646.0,58.72727272727273,99.0,74.0,646.0,646.0,11.0,,,,
157,CCC,2013B,1,0,Female,35-55,HE Qualification,10-20%,Female_x_35-55,120,0,319.0,53.166666666666664,73.0,51.0,319.0,319.0,6.0,,,,
158,CCC,2014B,1,0,Female,0-35,HE Qualification,90-100%,Female_x_0-35,120,1,572.0,47.666666666666664,83.0,79.0,572.0,572.0,12.0,,,,
159,FFF,2014J,0,0,Male,55<=,Lower Than A Level,40-50%,Male_x_55<=,30,3,727.0,48.46666666666667,91.0,0.0,727.0,727.0,15.0,,,,
160,DDD,2014B,0,1,Female,35-55,Lower Than A Level,50-60%,Female_x_35-55,30,3,234.0,46.8,85.0,0.0,234.0,234.0,5.0,,,,
